Продукт,Калорийность,Белки,Жиры,Углеводы
Вина десертные 16% об.,172 кКал,"0,5 г",0 г,20 г
"Вина крепкие 19,5% об.",163 кКал,"0,4 г",0 г,12 г
Вина ликерные 16% об.,212 кКал,"0,5 г",0 г,30 г
Вина полудесертные 16% об.,140 кКал,"0,4 г",0 г,12 г
Вина полусладкие белые и красные (в т. ч. шампанское) 12% об.,88 кКал,"0,2 г",0 г,5 г
Вина полусухие белые и красные (в т. ч. шампанское) 12% об.,78 кКал,"0,3 г",0 г,"2,5 г"
Вина сладкие белые и красные (в т. ч. шампанское) 12% об.,100 кКал,"0,2 г",0 г,8 г
Вина сухие белые и красные (в т. ч. шампанское) 11% об.,64 кКал,"0,2 г",0 г,"0,3 г"
Вино безалкогольное,6 кКал,"0,5 г",0 г,"1,1 г"
"Вино десертное сладкое 18,9% об.",160 кКал,"0,2 г",0 г,"13,69 г"
"Вино десертное сухое 18,9% об.",152 кКал,"0,2 г",0 г,"11,67 г"
"Вино кулинарное 4,15% об.",50 кКал,"0,5 г",0 г,"6,3 г"
Вино легкое 8% об.,49 кКал,"0,07 г",0 г,"1,17 г"
"Вино розовое, 12% об.",83 кКал,"0,36 г",0 г,"3,8 г"
"Вино столовое белое 12,8% об.",82 кКал,"0,07 г",0 г,"2,6 г"
"Вино столовое белое, Гевюрцтраминер (Gewurztraminer) 12,6% об.",81 кКал,"0,07 г",0 г,"2,6 г"
"Вино столовое белое, Лэйт Харвест (late harvest) 10,6% об.",112 кКал,"0,07 г",0 г,"13,39 г"
"Вино столовое белое, Мускат (Muscat) 11% об.",82 кКал,"0,07 г",0 г,"5,23 г"
"Вино столовое белое, Мюллер-Тургау (Muller Thurgau) 11,2% об.",76 кКал,"0,07 г",0 г,"3,48 г"
"Вино столовое белое, Пино Блан (Pinot Blanc) 13,2% об.",81 кКал,"0,07 г",0 г,"1,94 г"
"Вино столовое белое, Пино Гри (Pinot Gris (Grigio)) 13,3% об.",83 кКал,"0,07 г",0 г,"2,06 г"
"Вино столовое белое, Рислинг (Riesling) 11,8% об.",80 кКал,"0,07 г",0 г,"3,74 г"
"Вино столовое белое, Семильон (Semillon) 12,6% об.",82 кКал,"0,07 г",0 г,"3,12 г"
"Вино столовое белое, Совиньон Блан (Sauvignon Blanc) 13% об.",81 кКал,"0,07 г",0 г,"2,05 г"
"Вино столовое белое, Фюмэ Блан (Fume Blanc) 13% об.",82 кКал,"0,07 г",0 г,"2,27 г"
"Вино столовое белое, Шенен Блан (Chenin Blanc) 12% об.",80 кКал,"0,07 г",0 г,"3,31 г"
"Вино столовое красное 13,2% об.",85 кКал,"0,07 г",0 г,"2,61 г"
"Вино столовое красное, Барбера (Barbera) 13,2% об.",85 кКал,"0,07 г",0 г,"2,79 г"
"Вино столовое красное, Бургундское (Burgundy) 12,8% об.",86 кКал,"0,07 г",0 г,"3,69 г"
"Вино столовое красное, Гаме (Gamay) 12,2% об.",78 кКал,"0,07 г",0 г,"2,38 г"
"Вино столовое красное, Зинфандель (Zinfandel) 13,8% об.",88 кКал,"0,07 г",0 г,"2,86 г"
"Вино столовое красное, Каберне Фран (Cabernet Franc) 13,2% об.",83 кКал,"0,07 г",0 г,"2,45 г"
"Вино столовое красное, Кариньян (Carignane) 11,6% об.",74 кКал,"0,07 г",0 г,"2,4 г"
"Вино столовое красное, Кларет (Claret) 12,7% об.",83 кКал,"0,07 г",0 г,"3,01 г"
"Вино столовое красное, Лембергер (Lemberger) 12,7% об.",80 кКал,"0,07 г",0 г,"2,46 г"
"Вино столовое красное, Мерло (Merlot) 13,2% об.",83 кКал,"0,07 г",0 г,"2,51 г"
"Вино столовое красное, Мурведр (Mouvedre) 13,9% об.",88 кКал,"0,07 г",0 г,"2,64 г"
"Вино столовое красное, Пино Нуар (Pinot Noir) 12,9% об.",82 кКал,"0,07 г",0 г,"2,31 г"
"Вино столовое красное, Пти Шираз (Petite Sirah) 13,3% об.",85 кКал,"0,07 г",0 г,"2,68 г"
"Вино столовое красное, Санджовезе (Sangiovese) 13,5% об.",86 кКал,"0,07 г",0 г,"2,62 г"
"Вино столовое красное, Совиньон Каберне, 13% об.",83 кКал,"0,07 г",0 г,"2,6 г"
"Вино столовое красное, Шираз (Syrah) 13% об.",83 кКал,"0,07 г",0 г,"2,58 г"
"Вино столовое, все виды 13% об.",83 кКал,"0,07 г",0 г,"2,72 г"
"Виски, 43% об.",250 кКал,0 г,0 г,"0,1 г"
Водка 40% об.,235 кКал,0 г,0 г,"0,4 г"
"Водка, 40% об.",231 кКал,0 г,0 г,0 г
Дайкири консервированный 12% об.,125 кКал,0 г,0 г,"15,7 г"
"Дайкири, приготовленный по рецепту 28% об.",186 кКал,"0,06 г","0,06 г","6,84 г"
"Джин, ром, водка, виски, 40% об.",231 кКал,0 г,0 г,0 г
"Джин, ром, водка, виски, 43% об.",250 кКал,0 г,0 г,"0,1 г"
"Джин, ром, водка, виски, 45% об.",263 кКал,0 г,0 г,0 г
"Джин, ром, водка, виски, 47 % об.",275 кКал,0 г,0 г,0 г
"Джин, ром, водка, виски, 50% об.",295 кКал,0 г,0 г,0 г
"Коктейль Виски Сауэр, 17,5% об. приготовленный из продукта N14530",149 кКал,0 г,"0,03 г","13,17 г"
"Коктейль Виски Сауэр, 18% об., приготовленный из виски, воды и порошковой смеси",164 кКал,"0,1 г","0,02 г","15,85 г"
"Коктейль Виски Сауэр, 18% об., приготовленный из продукта N14028",153 кКал,"0,06 г","0,06 г","12,82 г"
"Коктейль Виски Сауэр, консервированный 11,8% об.",119 кКал,0 г,0 г,"13,3 г"
"Коньяк ординарный «три звездочки», 40% об.",239 кКал,0 г,0 г,"1,5 г"
"Ликер Вишневый 24,3% об.",299 кКал,0 г,0 г,40 г
"Ликер кофейный, 26,5% об.",336 кКал,"0,1 г","0,3 г","46,8 г"
"Ликер кофейный, 31,6%",308 кКал,"0,1 г","0,3 г","32,2 г"
"Ликер, кофе со сливками, 17 % об.",327 кКал,"2,8 г","15,7 г","20,9 г"
"Ликер, крем-ликёр мятный, 36%",371 кКал,0 г,"0,3 г","41,6 г"
Наливка «Сливянка» 18% об.,215 кКал,0 г,0 г,28 г
"Настойка горькая ""Русский сувенир"" 38% об.",248 кКал,0 г,0 г,"6,4 г"
"Пиво Будвайзер, 4,9% об., BUDWEISER",41 кКал,"0,36 г",0 г,"2,97 г"
"Пиво Жигулёвское 2,8% об.",37 кКал,"0,6 г",0 г,"4,8 г"
"Пиво крепкое, 9,6% об.",58 кКал,"0,9 г",0 г,"0,27 г"
"Пиво светлое 7,5% об.",46 кКал,"0,25 г",0 г,"0,77 г"
"Пиво светлое Бад Лайт 4,1% об., BUD LIGHT",29 кКал,"0,25 г",0 г,"1,3 г"
"Пиво светлое Будвайзер Селект, BUDWEISER SELECT, 4,3% об.",28 кКал,"0,2 г",0 г,"0,87 г"
"Пиво светлое Микелоб Ультра, 4,1% об., MICHELOB ULTRA",27 кКал,"0,17 г",0 г,"0,73 г"
"Пиво светлое, 4% об., с долей сухих в-в в исходном сусле 11%",42 кКал,"0,3 г",0 г,"4,6 г"
"Пиво светлое, 7,9% об., с долей сухих в-в в исходном сусле 20%",75 кКал,"0,4 г",0 г,"7,6 г"
"Пиво темное, 4,3% об., с долей сухих в-в в исходном сусле 13%",48 кКал,"0,3 г",0 г,"5,7 г"
"Пиво темное, 6,8% об., с долей сухих в-в в исходном сусле 20%",74 кКал,"0,4 г",0 г,"8,7 г"
"Пиво, обычное, 4,9% об., все виды",43 кКал,"0,46 г",0 г,"3,55 г"
"Пиво, светлое, 3,9% об.",29 кКал,"0,24 г",0 г,"1,64 г"
"Пинаколада консервированная, 11,2% об.",237 кКал,"0,6 г","7,6 г","27,5 г"
"Пинаколада, приготовленная по рецепту, 12,3% об.",174 кКал,"0,42 г","1,88 г","22,36 г"
"Ром, 40% об.",231 кКал,0 г,0 г,0 г
"Саке, рисовая водка, 19,9% об.",134 кКал,"0,5 г",0 г,5 г
"Солодовое пиво, хард-лимонад, 5% об.",68 кКал,0 г,0 г,"10,07 г"
"Текила Санрайз консервированная, 11,7% об.",110 кКал,"0,3 г","0,1 г","11,3 г"
